,index,Symbol,Security,Sector,GICS Sub-Industry,Open,Low,Close,High,beta,forwardPE,averageVolume,marketCap,Trailing PE
210,210,GE,General Electric,Industrials,Industrial Conglomerates,"0    11.5
Name: Open, dtype: float64","0    11.3
Name: Low, dtype: float64","0    11.39
Name: Close, dtype: float64","0    11.5
Name: High, dtype: float64",1.074054,29.973686,96068470,99774930944,32.357956
211,211,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"0    55.619999
Name: Open, dtype: float64","0    54.52
Name: Low, dtype: float64","0    55.34
Name: Close, dtype: float64","0    55.68
Name: High, dtype: float64",0.5530459999999999,14.836461,3586766,33836922880,14.18247
212,212,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"0    56.23
Name: Open, dtype: float64","0    54.849998
Name: Low, dtype: float64","0    55.860001
Name: Close, dtype: float64","0    56.599998
Name: High, dtype: float64",1.438025,9.597938,19015064,79952977920,25.049328
213,213,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"0    99.260002
Name: Open, dtype: float64","0    98.25
Name: Low, dtype: float64","0    100.010002
Name: Close, dtype: float64","0    100.730003
Name: High, dtype: float64",1.058298,17.362846,788354,14430443520,0.0
214,214,GILD,Gilead Sciences,Health Care,Biotechnology,"0    67.0
Name: Open, dtype: float64","0    66.699997
Name: Low, dtype: float64","0    67.989998
Name: Close, dtype: float64","0    68.089996
Name: High, dtype: float64",0.525735,10.102526,9962379,85227503616,67.51738
215,215,GL,Globe Life Inc.,Financials,Life & Health Insurance,"0    96.739998
Name: Open, dtype: float64","0    95.959999
Name: Low, dtype: float64","0    96.519997
Name: Close, dtype: float64","0    96.980003
Name: High, dtype: float64",1.1271,12.6833105,436685,10101976064,14.131771
216,216,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"0    189.470001
Name: Open, dtype: float64","0    187.619995
Name: Low, dtype: float64","0    190.740005
Name: Close, dtype: float64","0    192.5
Name: High, dtype: float64",1.162289,23.69441,1736775,57095540736,114.010765
217,217,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"0    295.820007
Name: Open, dtype: float64","0    287.480011
Name: Low, dtype: float64","0    290.470001
Name: Close, dtype: float64","0    297.450012
Name: High, dtype: float64",,9.480091999999999,3097969,99941433344,11.740906
218,218,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"0    396.059998
Name: Open, dtype: float64","0    388.329987
Name: Low, dtype: float64","0    392.959991
Name: Close, dtype: float64","0    396.059998
Name: High, dtype: float64",1.147584,21.344921,325203,21089376256,33.951958
219,219,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"0    21.389999
Name: Open, dtype: float64","0    19.809999
Name: Low, dtype: float64","0    20.08
Name: Close, dtype: float64","0    21.389999
Name: High, dtype: float64",,17.614035,12445993,17750859776,0.0
